Full Name,Date of Birth,Nationality,Gender,Marital Status,Occupation,Employer,Years with Employer,Residential Address,Phone Number,Email,Account Type,Account Number,Currency,Annual Salary (CHF),Monthly Rental Income (CHF),Total Assets (CHF),Total Deposits (CHF),Total Withdrawals (CHF),Active Loans,Banking Products Used,Source of Wealth,Investment Knowledge,Investment Objective,Risk Profile,Compliance Notes,PEP Status,Sanctions Check,AML Risk,Geographical Risk,bu_name,pc_segment,client portfolio,RM,Story of Wealth,Affluence
James Maxwell,1961-07-31,CH,Female,Single,Recycling officer,Christian-Meza,7,"125 Maria Village, West Kimberlyfurt, NV 59917",277.734.6265x906,jamesarmstrong@example.net,Checking,SJWV37040707963131,CHF,118678.36,5152.36,926839.32,66081.72,216396.4,1,['Savings Account'],"Inheritance, Savings, Salary","Client has extensive experience investing in equities, bonds, ETFs, and mutual funds. Demonstrates strong understanding of portfolio diversification and risk management techniques. Has previously invested in alternative assets such as real estate funds and structured products.",Capital Preservation,Client assessed as high-risk due to high-value international transactions and exposure to high-volatility assets. Requires enhanced monitoring and periodic review.,Verification of ID documents and employment completed. Tax residency confirmed. Client is not on any sanctions or PEP lists. AML monitoring recommended due to international investment exposure.,No,Cleared,Low,High,LI,RM serviced PB,"[{'Stock': 'Novartis', 'Shares Owned': 66, 'Allocation (%)': 2.99}, {'Stock': 'AGG', 'Shares Owned': 456, 'Allocation (%)': 5.78}, {'Stock': 'INTC', 'Shares Owned': 87, 'Allocation (%)': 72.83}, {'Stock': 'GE', 'Shares Owned': 54, 'Allocation (%)': 2.0}, {'Stock': 'ADBE', 'Shares Owned': 408, 'Allocation (%)': 9.54}, {'Stock': 'Roche', 'Shares Owned': 350, 'Allocation (%)': 1.75}, {'Stock': 'XOM', 'Shares Owned': 290, 'Allocation (%)': 1.57}, {'Stock': 'CAT', 'Shares Owned': 317, 'Allocation (%)': 1.46}, {'Stock': 'NFLX', 'Shares Owned': 317, 'Allocation (%)': 1.0}, {'Stock': 'SOL', 'Shares Owned': 453, 'Allocation (%)': 1.0800000000000063}]",Arthur Elliott, bet big on crypto and lives quietly by the sea.,Affluent
Chase Schmidt,1988-06-24,CH,Male,Divorced,Social researcher,Moore-Baxter,13,"705 Johnny Rapids Apt. 280, Ballside, IA 11517",+1-878-862-7097x2047,cbray@example.org,Checking,XUYZ78136563948602,CHF,98426.6,4582.52,211095.12,262935.6,154417.12,2,['Savings Account'],"Salary, Rental Income, Stock Investments","Client is highly knowledgeable about derivatives, structured products, and alternative investment vehicles. Experience includes cryptocurrency investments and international equities. Understands hedging and leverage strategies.",Aggressive Growth,Client assessed as low-risk. Transaction behavior is consistent with reported income. No history of suspicious activity. Domestic and regulated international income sources only.,Full KYC verification completed. Risk assessment and AML checks cleared. Client demonstrates transparency in source of funds and investment objectives.,Yes,Cleared,High,Low,BVI,RM serviced PB,"[{'Stock': 'NVDA', 'Shares Owned': 87, 'Allocation (%)': 25.63}, {'Stock': 'SLV', 'Shares Owned': 242, 'Allocation (%)': 48.86}, {'Stock': 'GLD', 'Shares Owned': 327, 'Allocation (%)': 15.86}, {'Stock': 'SOL', 'Shares Owned': 39, 'Allocation (%)': 2.35}, {'Stock': 'BA', 'Shares Owned': 230, 'Allocation (%)': 1.98}, {'Stock': 'XOM', 'Shares Owned': 253, 'Allocation (%)': 1.28}, {'Stock': 'QQQ', 'Shares Owned': 371, 'Allocation (%)': 1.02}, {'Stock': 'ARKK', 'Shares Owned': 188, 'Allocation (%)': 1.0}, {'Stock': 'Novartis', 'Shares Owned': 343, 'Allocation (%)': 1.01}, {'Stock': 'ADBE', 'Shares Owned': 410, 'Allocation (%)': 1.0100000000000053}]",Mary Greene, focused on real estate and retired early.,Affluent
Amy Lee,1988-07-08,DE,Female,Divorced,"Education officer, community",Mueller PLC,17,"242 Robinson Pines, North Vincent, AR 77463",+1-566-779-4436x32287,christinemiles@example.org,Savings,PJKQ25039904338578,CHF,83677.4,5707.92,318271.28,52498.04,260480.8,3,"['Checking Account', 'Savings Account', 'Investment Account']","Salary, Rental Income, Stock Investments",Client possesses practical experience in stock markets and ETFs. Has some knowledge of portfolio rebalancing and tax-efficient investment strategies.,Income Generation,"Client assessed as low-to-medium risk. Domestic income and salary align with monthly transactions, but moderate exposure to alternative investments noted.","Documents partially verified. Further verification of employment and income recommended. PEP check cleared, but client flagged for high-value international transactions. Periodic compliance review required.",No,Cleared,High,Low,CH,EAM,"[{'Stock': 'SAP', 'Shares Owned': 217, 'Allocation (%)': 19.46}, {'Stock': 'ADBE', 'Shares Owned': 391, 'Allocation (%)': 64.77}, {'Stock': 'BND', 'Shares Owned': 481, 'Allocation (%)': 1.45}, {'Stock': 'ARKK', 'Shares Owned': 36, 'Allocation (%)': 6.28}, {'Stock': 'AAPL', 'Shares Owned': 409, 'Allocation (%)': 2.42}, {'Stock': 'NVDA', 'Shares Owned': 444, 'Allocation (%)': 1.19}, {'Stock': 'QQQ', 'Shares Owned': 33, 'Allocation (%)': 1.14}, {'Stock': 'Novartis', 'Shares Owned': 117, 'Allocation (%)': 1.13}, {'Stock': 'GLD', 'Shares Owned': 294, 'Allocation (%)': 1.14}, {'Stock': 'Allianz', 'Shares Owned': 103, 'Allocation (%)': 1.0199999999999967}]",Mary Greene, bet big on crypto and achieved financial independence.,Non-Affluent
Jocelyn Cook,1983-09-11,CH,Female,Divorced,Production manager,Ray Inc,25,"635 Bernard Junctions, Butlerport, PW 92682",909-749-0082x22465,campbellmiranda@example.com,Checking,ZFYL96679087095664,CHF,84169.04,5798.36,406927.64,43213.32,239367.48,2,['Savings Account'],"Inheritance, Savings, Salary","Client is highly knowledgeable about derivatives, structured products, and alternative investment vehicles. Experience includes cryptocurrency investments and international equities. Understands hedging and leverage strategies.",Moderate Growth,Client assessed as medium-risk. Some international investments noted. Transactions slightly higher than expected for profile but consistent with disclosed sources of wealth.,All identification documents verified. Employment and income confirmed via supporting documents. PEP check cleared. Sanctions screening completed. AML risk is low. No discrepancies found during due diligence.,No,Cleared,High,High,CH,RM serviced PB,"[{'Stock': 'Volkswagen', 'Shares Owned': 260, 'Allocation (%)': 34.79}, {'Stock': 'TIP', 'Shares Owned': 368, 'Allocation (%)': 20.73}, {'Stock': 'ADBE', 'Shares Owned': 180, 'Allocation (%)': 12.7}, {'Stock': 'SAP', 'Shares Owned': 88, 'Allocation (%)': 5.2}, {'Stock': 'CAT', 'Shares Owned': 347, 'Allocation (%)': 9.87}, {'Stock': 'QQQ', 'Shares Owned': 461, 'Allocation (%)': 7.39}, {'Stock': 'Siemens', 'Shares Owned': 310, 'Allocation (%)': 2.39}, {'Stock': 'GLD', 'Shares Owned': 415, 'Allocation (%)': 3.22}, {'Stock': 'AGG', 'Shares Owned': 323, 'Allocation (%)': 1.8}, {'Stock': 'ARKG', 'Shares Owned': 318, 'Allocation (%)': 1.9100000000000066}]",Cynthia Baker, ran a quant hedge fund and became a mentor.,UHNWI
Patrick Kelley,1992-08-29,CH,Male,Single,Politician's assistant,Perez-Martinez,4,"7591 Michael Gardens, East Eric, MS 78900",(391)255-6315,longnathan@example.net,Savings,AQTN12688274311035,CHF,55806.92,3799.84,1292784.72,162403.04,138201.16,1,"['Checking Account', 'Savings Account', 'Investment Account']","Inheritance, Savings, Salary","Client has moderate knowledge of financial markets, primarily investing in mutual funds and fixed income securities. Familiar with basic risk-return tradeoffs and market volatility, but prefers conservative investment strategies.",Income Generation,Client assessed as medium-risk. Some international investments noted. Transactions slightly higher than expected for profile but consistent with disclosed sources of wealth.,Verification of ID documents and employment completed. Tax residency confirmed. Client is not on any sanctions or PEP lists. AML monitoring recommended due to international investment exposure.,No,Cleared,Medium,Medium,LI,RM serviced PB,"[{'Stock': 'GLD', 'Shares Owned': 288, 'Allocation (%)': 66.07}, {'Stock': 'ETH', 'Shares Owned': 451, 'Allocation (%)': 19.02}, {'Stock': 'Novartis', 'Shares Owned': 215, 'Allocation (%)': 1.33}, {'Stock': 'BTC', 'Shares Owned': 165, 'Allocation (%)': 6.98}, {'Stock': 'XOM', 'Shares Owned': 205, 'Allocation (%)': 1.17}, {'Stock': 'EFA', 'Shares Owned': 98, 'Allocation (%)': 1.22}, {'Stock': 'TIP', 'Shares Owned': 14, 'Allocation (%)': 1.16}, {'Stock': 'BND', 'Shares Owned': 351, 'Allocation (%)': 1.02}, {'Stock': 'BA', 'Shares Owned': 16, 'Allocation (%)': 1.01}, {'Stock': 'ADA', 'Shares Owned': 316, 'Allocation (%)': 1.020000000000007}]",Arthur Elliott, ran a quant hedge fund and became a mentor.,UHNWI
Mary Jones,1986-10-03,DE,Female,Single,Science writer,Jackson Group,3,"PSC 8483, Box 6882, APO AP 55268",2336363993,ashleymcclain@example.net,Savings and Investment,CGMS56151165057607,CHF,72556.0,709.92,192018.4,332565.56,239524.56,3,"['Checking Account', 'Savings Account', 'Investment Account']","Salary, Rental Income, Stock Investments","Client has extensive experience investing in equities, bonds, ETFs, and mutual funds. Demonstrates strong understanding of portfolio diversification and risk management techniques. Has previously invested in alternative assets such as real estate funds and structured products.",Aggressive Growth,"Client assessed as low-to-medium risk. Domestic income and salary align with monthly transactions, but moderate exposure to alternative investments noted.",All identification documents verified. Employment and income confirmed via supporting documents. PEP check cleared. Sanctions screening completed. AML risk is low. No discrepancies found during due diligence.,No,Cleared,Low,Medium,BVI,RM serviced PB,"[{'Stock': 'Roche', 'Shares Owned': 59, 'Allocation (%)': 71.86}, {'Stock': 'USO', 'Shares Owned': 302, 'Allocation (%)': 18.35}, {'Stock': 'EFA', 'Shares Owned': 354, 'Allocation (%)': 2.24}, {'Stock': 'ADA', 'Shares Owned': 195, 'Allocation (%)': 1.2}, {'Stock': 'GOOGL', 'Shares Owned': 437, 'Allocation (%)': 1.17}, {'Stock': 'TIP', 'Shares Owned': 391, 'Allocation (%)': 1.1}, {'Stock': 'ARKG', 'Shares Owned': 403, 'Allocation (%)': 1.08}, {'Stock': 'BND', 'Shares Owned': 144, 'Allocation (%)': 1.0}, {'Stock': 'INTC', 'Shares Owned': 61, 'Allocation (%)': 1.0}, {'Stock': 'META', 'Shares Owned': 276, 'Allocation (%)': 0.9999999999999982}]",Cynthia Baker, ran a quant hedge fund and lives quietly by the sea.,Non-Affluent
Margaret Flores,1971-12-25,DE,Female,Single,"Editor, film/video",Atkinson Inc,3,"8045 Brown Springs, Acostahaven, PR 71367",001-925-820-5558,fcole@example.net,Savings and Investment,LQTS58490069339830,CHF,115162.08,1037.68,802255.84,72726.0,216232.52,2,"['Checking Account', 'Savings Account', 'Investment Account']","Salary, Rental Income, Stock Investments","Client has extensive experience investing in equities, bonds, ETFs, and mutual funds. Demonstrates strong understanding of portfolio diversification and risk management techniques. Has previously invested in alternative assets such as real estate funds and structured products.",Income Generation,"Client assessed as low-to-medium risk. Domestic income and salary align with monthly transactions, but moderate exposure to alternative investments noted.",Verification of ID documents and employment completed. Tax residency confirmed. Client is not on any sanctions or PEP lists. AML monitoring recommended due to international investment exposure.,Yes,Cleared,High,Medium,BVI,RM serviced PB,"[{'Stock': 'INTC', 'Shares Owned': 432, 'Allocation (%)': 32.52}, {'Stock': 'BASF', 'Shares Owned': 19, 'Allocation (%)': 53.38}, {'Stock': 'SOL', 'Shares Owned': 10, 'Allocation (%)': 6.15}, {'Stock': 'GLD', 'Shares Owned': 13, 'Allocation (%)': 1.92}, {'Stock': 'LVMH', 'Shares Owned': 242, 'Allocation (%)': 1.02}, {'Stock': 'MSFT', 'Shares Owned': 422, 'Allocation (%)': 1.0}, {'Stock': 'NEE', 'Shares Owned': 498, 'Allocation (%)': 1.0}, {'Stock': 'SPY', 'Shares Owned': 120, 'Allocation (%)': 1.0}, {'Stock': 'CAT', 'Shares Owned': 187, 'Allocation (%)': 1.0}, {'Stock': 'ADBE', 'Shares Owned': 299, 'Allocation (%)': 1.0099999999999874}]",Mary Greene, bet big on crypto and keeps growing steadily.,UHNWI
Joseph Guzman,1972-01-29,LI,Male,Single,Analytical chemist,"Walsh, Martinez and Dennis",7,"USNS Gonzalez, FPO AE 18030",499.318.6785x177,chasederek@example.com,Checking,CVJR57172182552099,CHF,73118.36,34.0,432123.0,123222.8,151377.52,2,"['Checking Account', 'Savings Account']","Inheritance, Savings, Salary","Client has extensive experience investing in equities, bonds, ETFs, and mutual funds. Demonstrates strong understanding of portfolio diversification and risk management techniques. Has previously invested in alternative assets such as real estate funds and structured products.",Capital Preservation,"Client assessed as low-to-medium risk. Domestic income and salary align with monthly transactions, but moderate exposure to alternative investments noted.",All identification documents verified. Employment and income confirmed via supporting documents. PEP check cleared. Sanctions screening completed. AML risk is low. No discrepancies found during due diligence.,Yes,Cleared,Medium,Low,SG,Com. & Retail,"[{'Stock': 'SAP', 'Shares Owned': 469, 'Allocation (%)': 49.24}, {'Stock': 'BA', 'Shares Owned': 137, 'Allocation (%)': 14.58}, {'Stock': 'Volkswagen', 'Shares Owned': 71, 'Allocation (%)': 28.21}, {'Stock': 'EFA', 'Shares Owned': 405, 'Allocation (%)': 1.82}, {'Stock': 'AGG', 'Shares Owned': 365, 'Allocation (%)': 1.1}, {'Stock': 'VTI', 'Shares Owned': 430, 'Allocation (%)': 1.03}, {'Stock': 'Allianz', 'Shares Owned': 481, 'Allocation (%)': 1.01}, {'Stock': 'META', 'Shares Owned': 335, 'Allocation (%)': 1.01}, {'Stock': 'INTC', 'Shares Owned': 207, 'Allocation (%)': 1.0}, {'Stock': 'SOL', 'Shares Owned': 248, 'Allocation (%)': 0.9999999999999989}]",Arthur Elliott, launched a coffee chain and achieved financial independence.,Non-Affluent
Lisa Martin,1986-12-11,LI,Female,Single,"Surveyor, building control",Hernandez-Powell,23,"718 Thompson Ridges, Lake Ericamouth, ND 95010",404.955.1403x193,robinsontina@example.com,Savings and Investment,UDJE80933098268636,CHF,112639.96,3240.2,593368.0,199707.84,160406.56,1,"['Savings Account', 'Investment Account']","Salary, Rental Income, Stock Investments","Client has moderate knowledge of financial markets, primarily investing in mutual funds and fixed income securities. Familiar with basic risk-return tradeoffs and market volatility, but prefers conservative investment strategies.",Income Generation,"Client assessed as low-to-medium risk. Domestic income and salary align with monthly transactions, but moderate exposure to alternative investments noted.","Documents partially verified. Further verification of employment and income recommended. PEP check cleared, but client flagged for high-value international transactions. Periodic compliance review required.",Yes,Cleared,Low,Medium,SG,RM serviced PB,"[{'Stock': 'SOL', 'Shares Owned': 128, 'Allocation (%)': 47.87}, {'Stock': 'Volkswagen', 'Shares Owned': 474, 'Allocation (%)': 28.42}, {'Stock': 'Roche', 'Shares Owned': 447, 'Allocation (%)': 11.08}, {'Stock': 'ARKK', 'Shares Owned': 181, 'Allocation (%)': 4.88}, {'Stock': 'ADBE', 'Shares Owned': 392, 'Allocation (%)': 2.14}, {'Stock': 'ARKG', 'Shares Owned': 277, 'Allocation (%)': 1.23}, {'Stock': 'ARKF', 'Shares Owned': 203, 'Allocation (%)': 1.27}, {'Stock': 'NEE', 'Shares Owned': 146, 'Allocation (%)': 1.01}, {'Stock': 'LVMH', 'Shares Owned': 497, 'Allocation (%)': 1.1}, {'Stock': 'Novartis', 'Shares Owned': 285, 'Allocation (%)': 1.0000000000000004}]",Arthur Elliott, invested early in tech stocks but lost it all in a crash.,UHNWI
Michael Odonnell,1988-01-07,LI,Female,Divorced,"Engineer, technical sales",Schultz-Obrien,20,"324 Dunn Highway Suite 737, East Jason, VT 07693",557-662-4241x231,ebrady@example.org,Checking,ZMMC44395072141361,CHF,90862.96,3744.76,1067202.2,56597.76,214883.4,0,['Savings Account'],"Business Income, Investments",Client possesses practical experience in stock markets and ETFs. Has some knowledge of portfolio rebalancing and tax-efficient investment strategies.,Aggressive Growth,Client assessed as medium-risk. Some international investments noted. Transactions slightly higher than expected for profile but consistent with disclosed sources of wealth.,Full KYC verification completed. Risk assessment and AML checks cleared. Client demonstrates transparency in source of funds and investment objectives.,No,Cleared,High,Low,LI,RM serviced PB,"[{'Stock': 'QQQ', 'Shares Owned': 59, 'Allocation (%)': 32.14}, {'Stock': 'INTC', 'Shares Owned': 257, 'Allocation (%)': 2.4}, {'Stock': 'USO', 'Shares Owned': 446, 'Allocation (%)': 31.63}, {'Stock': 'TSLA', 'Shares Owned': 206, 'Allocation (%)': 13.34}, {'Stock': 'CVX', 'Shares Owned': 277, 'Allocation (%)': 6.87}, {'Stock': 'BTC', 'Shares Owned': 285, 'Allocation (%)': 2.77}, {'Stock': 'BASF', 'Shares Owned': 232, 'Allocation (%)': 5.43}, {'Stock': 'SPY', 'Shares Owned': 401, 'Allocation (%)': 3.13}, {'Stock': 'AAPL', 'Shares Owned': 450, 'Allocation (%)': 1.26}, {'Stock': 'SAP', 'Shares Owned': 159, 'Allocation (%)': 1.0299999999999983}]",Arthur Elliott, bet big on crypto and achieved financial independence.,UHNWI
Tiffany Hendricks,1967-08-30,LI,Female,Single,"Exhibitions officer, museum/gallery",Lee and Sons,14,"6241 Stephenson Extensions Suite 520, West Kara, PR 74453",001-289-278-5427x628,vglenn@example.net,Savings,QCWF16627763504786,CHF,118449.88,4919.12,857848.56,328492.36,83960.96,2,"['Savings Account', 'Investment Account']","Inheritance, Savings, Salary","Client has extensive experience investing in equities, bonds, ETFs, and mutual funds. Demonstrates strong understanding of portfolio diversification and risk management techniques. Has previously invested in alternative assets such as real estate funds and structured products.",Capital Preservation,Client assessed as low-risk. Transaction behavior is consistent with reported income. No history of suspicious activity. Domestic and regulated international income sources only.,Verification of ID documents and employment completed. Tax residency confirmed. Client is not on any sanctions or PEP lists. AML monitoring recommended due to international investment exposure.,No,Cleared,Low,Low,BVI,Com. & Retail,"[{'Stock': 'BND', 'Shares Owned': 235, 'Allocation (%)': 4.92}, {'Stock': 'ARKF', 'Shares Owned': 288, 'Allocation (%)': 29.94}, {'Stock': 'ADA', 'Shares Owned': 364, 'Allocation (%)': 13.62}, {'Stock': 'Allianz', 'Shares Owned': 148, 'Allocation (%)': 41.49}, {'Stock': 'LVMH', 'Shares Owned': 406, 'Allocation (%)': 3.12}, {'Stock': 'AGG', 'Shares Owned': 492, 'Allocation (%)': 1.49}, {'Stock': 'INTC', 'Shares Owned': 21, 'Allocation (%)': 1.82}, {'Stock': 'USO', 'Shares Owned': 471, 'Allocation (%)': 1.38}, {'Stock': 'MSFT', 'Shares Owned': 400, 'Allocation (%)': 1.13}, {'Stock': 'TSLA', 'Shares Owned': 228, 'Allocation (%)': 1.0900000000000007}]",Mary Greene, built a fintech startup and achieved financial independence.,UHNWI
Randall Jordan,1972-07-13,CH,Male,Divorced,Chartered loss adjuster,"Johnson, Garcia and Wright",5,"60186 Lester Passage, Lake Elizabethton, WI 79738",7953541780,andrew67@example.com,Savings,VSZE33709624212820,CHF,107824.2,1375.64,1034481.96,138943.04,123338.4,3,"['Checking Account', 'Savings Account', 'Investment Account']","Inheritance, Savings, Salary","Client has extensive experience investing in equities, bonds, ETFs, and mutual funds. Demonstrates strong understanding of portfolio diversification and risk management techniques. Has previously invested in alternative assets such as real estate funds and structured products.",Income Generation,"Client assessed as low-to-medium risk. Domestic income and salary align with monthly transactions, but moderate exposure to alternative investments noted.",All identification documents verified. Employment and income confirmed via supporting documents. PEP check cleared. Sanctions screening completed. AML risk is low. No discrepancies found during due diligence.,No,Cleared,Low,Low,SG,EAM,"[{'Stock': 'VTI', 'Shares Owned': 49, 'Allocation (%)': 7.53}, {'Stock': 'SAP', 'Shares Owned': 225, 'Allocation (%)': 77.45}, {'Stock': 'BTC', 'Shares Owned': 457, 'Allocation (%)': 4.24}, {'Stock': 'CAT', 'Shares Owned': 160, 'Allocation (%)': 1.71}, {'Stock': 'Volkswagen', 'Shares Owned': 50, 'Allocation (%)': 1.63}, {'Stock': 'SPY', 'Shares Owned': 234, 'Allocation (%)': 2.56}, {'Stock': 'GOOGL', 'Shares Owned': 223, 'Allocation (%)': 1.84}, {'Stock': 'AGG', 'Shares Owned': 430, 'Allocation (%)': 1.0}, {'Stock': 'Allianz', 'Shares Owned': 25, 'Allocation (%)': 1.04}, {'Stock': 'Novartis', 'Shares Owned': 194, 'Allocation (%)': 0.9999999999999973}]",Cynthia Baker, invested early in tech stocks and became a mentor.,UHNWI
Alexander Brewer,1974-10-03,LI,Male,Divorced,Dispensing optician,Evans Group,29,"391 Johnson Haven, New Elizabethland, WY 67530",309.758.6660x335,markhill@example.com,Checking,YLTJ53686098524692,CHF,89512.48,5382.88,596385.16,210857.12,57200.92,2,"['Checking Account', 'Savings Account', 'Investment Account']","Salary, Rental Income, Stock Investments","Client is highly knowledgeable about derivatives, structured products, and alternative investment vehicles. Experience includes cryptocurrency investments and international equities. Understands hedging and leverage strategies.",Moderate Growth,Client assessed as low-risk. Transaction behavior is consistent with reported income. No history of suspicious activity. Domestic and regulated international income sources only.,All identification documents verified. Employment and income confirmed via supporting documents. PEP check cleared. Sanctions screening completed. AML risk is low. No discrepancies found during due diligence.,No,Cleared,Medium,Low,LI,Com. & Retail,"[{'Stock': 'TSLA', 'Shares Owned': 451, 'Allocation (%)': 8.24}, {'Stock': 'VTI', 'Shares Owned': 266, 'Allocation (%)': 62.89}, {'Stock': 'EFA', 'Shares Owned': 164, 'Allocation (%)': 16.75}, {'Stock': 'ETH', 'Shares Owned': 166, 'Allocation (%)': 2.67}, {'Stock': 'Novartis', 'Shares Owned': 335, 'Allocation (%)': 2.04}, {'Stock': 'CAT', 'Shares Owned': 42, 'Allocation (%)': 2.71}, {'Stock': 'GOOGL', 'Shares Owned': 297, 'Allocation (%)': 1.05}, {'Stock': 'Roche', 'Shares Owned': 445, 'Allocation (%)': 1.21}, {'Stock': 'Allianz', 'Shares Owned': 359, 'Allocation (%)': 1.03}, {'Stock': 'AGG', 'Shares Owned': 310, 'Allocation (%)': 1.4100000000000048}]",Mary Greene, invested early in tech stocks but lost it all in a crash.,Non-Affluent
Jessica Smith,1996-11-04,CH,Female,Married,Acupuncturist,Quinn Inc,8,"7512 Cook Manor Apt. 338, East Daniel, WY 33921",(839)424-7242x622,bonniepeters@example.net,Savings and Investment,FOLQ37915330492927,CHF,79161.52,1327.36,288730.72,82807.0,155312.0,0,"['Savings Account', 'Investment Account']","Inheritance, Savings, Salary","Client has moderate knowledge of financial markets, primarily investing in mutual funds and fixed income securities. Familiar with basic risk-return tradeoffs and market volatility, but prefers conservative investment strategies.",Aggressive Growth,Client assessed as high-risk due to high-value international transactions and exposure to high-volatility assets. Requires enhanced monitoring and periodic review.,"Documents partially verified. Further verification of employment and income recommended. PEP check cleared, but client flagged for high-value international transactions. Periodic compliance review required.",No,Cleared,Low,Medium,SG,RM serviced PB,"[{'Stock': 'GE', 'Shares Owned': 435, 'Allocation (%)': 53.03}, {'Stock': 'XOM', 'Shares Owned': 377, 'Allocation (%)': 11.82}, {'Stock': 'NFLX', 'Shares Owned': 355, 'Allocation (%)': 25.21}, {'Stock': 'INTC', 'Shares Owned': 126, 'Allocation (%)': 3.48}, {'Stock': 'GOOGL', 'Shares Owned': 339, 'Allocation (%)': 1.09}, {'Stock': 'TSLA', 'Shares Owned': 158, 'Allocation (%)': 1.1}, {'Stock': 'ARKF', 'Shares Owned': 270, 'Allocation (%)': 1.07}, {'Stock': 'ARKG', 'Shares Owned': 143, 'Allocation (%)': 1.14}, {'Stock': 'BASF', 'Shares Owned': 338, 'Allocation (%)': 1.02}, {'Stock': 'BA', 'Shares Owned': 148, 'Allocation (%)': 1.0399999999999978}]",Mary Greene, launched a coffee chain and retired early.,Non-Affluent
Travis Walker,1989-04-05,LI,Female,Widowed,Television/film/video producer,Ellis-Johnson,3,"930 Perkins Summit, Curtishaven, DC 11186",4464514573,wilsonjason@example.net,Savings and Investment,HMAS78664763992371,CHF,57177.12,2996.08,1194014.72,300936.04,234617.68,3,"['Checking Account', 'Savings Account']","Salary, Rental Income, Stock Investments","Client is highly knowledgeable about derivatives, structured products, and alternative investment vehicles. Experience includes cryptocurrency investments and international equities. Understands hedging and leverage strategies.",Aggressive Growth,Client assessed as low-risk. Transaction behavior is consistent with reported income. No history of suspicious activity. Domestic and regulated international income sources only.,Verification of ID documents and employment completed. Tax residency confirmed. Client is not on any sanctions or PEP lists. AML monitoring recommended due to international investment exposure.,No,Cleared,Low,Low,CH,Com. & Retail,"[{'Stock': 'AAPL', 'Shares Owned': 217, 'Allocation (%)': 4.48}, {'Stock': 'Roche', 'Shares Owned': 443, 'Allocation (%)': 82.07}, {'Stock': 'ARKQ', 'Shares Owned': 181, 'Allocation (%)': 1.23}, {'Stock': 'INTC', 'Shares Owned': 280, 'Allocation (%)': 5.62}, {'Stock': 'QQQ', 'Shares Owned': 462, 'Allocation (%)': 1.11}, {'Stock': 'GOOGL', 'Shares Owned': 272, 'Allocation (%)': 1.14}, {'Stock': 'XOM', 'Shares Owned': 477, 'Allocation (%)': 1.21}, {'Stock': 'ARKF', 'Shares Owned': 359, 'Allocation (%)': 1.01}, {'Stock': 'GLD', 'Shares Owned': 102, 'Allocation (%)': 1.02}, {'Stock': 'AGG', 'Shares Owned': 429, 'Allocation (%)': 1.1100000000000025}]",Arthur Elliott, focused on real estate and keeps growing steadily.,UHNWI
William Day,1997-01-19,DE,Male,Widowed,Web designer,Walker PLC,24,"2807 Knapp Junction Apt. 495, Smithfurt, AL 19021",429.226.0982x420,brittany95@example.com,Checking,CFQQ58834548164774,CHF,79220.68,6388.6,1096939.28,152549.84,222790.44,0,"['Checking Account', 'Savings Account']","Salary, Rental Income, Stock Investments",Client possesses practical experience in stock markets and ETFs. Has some knowledge of portfolio rebalancing and tax-efficient investment strategies.,Moderate Growth,Client assessed as high-risk due to high-value international transactions and exposure to high-volatility assets. Requires enhanced monitoring and periodic review.,All identification documents verified. Employment and income confirmed via supporting documents. PEP check cleared. Sanctions screening completed. AML risk is low. No discrepancies found during due diligence.,No,Cleared,Medium,High,LI,RM serviced PB,"[{'Stock': 'ARKG', 'Shares Owned': 321, 'Allocation (%)': 15.2}, {'Stock': 'CVX', 'Shares Owned': 167, 'Allocation (%)': 23.58}, {'Stock': 'AGG', 'Shares Owned': 193, 'Allocation (%)': 16.42}, {'Stock': 'TIP', 'Shares Owned': 26, 'Allocation (%)': 24.99}, {'Stock': 'GOOGL', 'Shares Owned': 412, 'Allocation (%)': 14.77}, {'Stock': 'INTC', 'Shares Owned': 253, 'Allocation (%)': 1.03}, {'Stock': 'MSFT', 'Shares Owned': 327, 'Allocation (%)': 1.0}, {'Stock': 'QQQ', 'Shares Owned': 265, 'Allocation (%)': 1.0}, {'Stock': 'AMZN', 'Shares Owned': 120, 'Allocation (%)': 1.0}, {'Stock': 'NFLX', 'Shares Owned': 177, 'Allocation (%)': 1.009999999999999}]",Cynthia Baker, bet big on crypto and lives quietly by the sea.,Affluent
